fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Matt Frevola,Ottman Azaitar,1,0,11,27,10,22,12,28,11,23,0,0,0,0,0,0,0,0,2,0,10,24,6,17,1,2,4,5,0,1,0,0,7,22,10,21,2,3,0,1,2,2,0,0,http://www.ufcstats.com/fight-details/40707ddc9fdea500
Karolina Kowalkiewicz,Silvana Gomez Juarez,0,0,5,15,6,31,20,41,7,32,2,2,0,0,0,0,0,0,225,0,4,12,3,27,1,3,2,2,0,0,1,2,5,15,6,31,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/ff2e4b411f695017
Michael Trizano,SeungWoo Choi,2,1,32,53,26,73,34,55,26,74,0,0,0,1,0,0,0,0,14,12,28,49,19,61,2,2,3,7,2,2,4,5,21,40,25,70,1,1,1,3,10,12,0,0,http://www.ufcstats.com/fight-details/7f93b2f38497caec
Julio Arce,Montel Jackson,0,0,4,22,5,17,9,27,15,29,1,2,0,1,0,0,0,0,6,129,2,16,3,15,1,3,1,1,1,3,1,1,4,22,4,16,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/bee95769a221af9a
Carlos Ulberg,Nicolae Negumereanu,1,0,14,23,2,14,14,23,2,14,0,0,0,0,0,0,0,0,5,0,8,15,0,7,2,2,1,4,4,6,1,3,12,20,2,14,0,0,0,0,2,3,0,0,http://www.ufcstats.com/fight-details/db026ff6eee4d174
Marina Rodriguez,Amanda Lemos,0,0,9,29,11,18,12,33,11,18,0,0,0,1,0,0,0,0,15,0,1,9,4,9,1,5,4,6,7,15,3,3,8,28,10,17,0,0,1,1,1,1,0,0,http://www.ufcstats.com/fight-details/abfc03893551ae73
Neil Magny,Daniel Rodriguez,0,0,22,39,20,36,38,59,21,37,2,3,0,1,0,0,0,0,97,15,14,29,5,19,6,8,6,8,2,2,9,9,16,31,20,36,5,7,0,0,1,1,0,0,http://www.ufcstats.com/fight-details/b279559f15ecf29b
Darrick Minner,Shayilan Nuerdanbieke,0,1,5,5,19,36,5,5,32,50,0,0,0,0,0,0,0,0,0,33,0,0,19,36,2,2,0,0,3,3,0,0,5,5,4,10,0,0,0,0,0,0,15,26,http://www.ufcstats.com/fight-details/2664805fde34fb1b
Tagir Ulanbekov,Nate Maness,0,0,4,9,4,10,9,14,23,30,1,2,0,0,1,0,0,0,94,0,4,8,2,8,0,1,1,1,0,0,1,1,2,6,3,9,0,1,0,0,2,2,1,1,http://www.ufcstats.com/fight-details/3adecfc4727a8d73
Grant Dawson,Mark Madsen,0,0,1,1,5,10,27,31,18,28,1,2,0,0,0,0,0,0,262,24,0,0,5,10,0,0,0,0,1,1,0,0,1,1,2,4,0,0,0,0,0,0,3,6,http://www.ufcstats.com/fight-details/1535fb6549fa8bab
Miranda Maverick,Shanna Young,0,0,22,52,18,48,41,74,18,48,1,1,0,0,0,0,0,0,87,0,13,40,13,43,3,5,2,2,6,7,3,3,20,50,18,48,0,0,0,0,2,2,0,0,http://www.ufcstats.com/fight-details/71afa8354da2491e
Mario Bautista,Benito Lopez,0,0,44,67,17,25,49,72,17,25,1,1,0,0,3,0,0,0,156,0,20,41,6,14,12,13,2,2,12,13,9,9,32,52,13,21,0,0,0,0,12,15,4,4,http://www.ufcstats.com/fight-details/2ab395e21080b10a
Polyana Viana,Jinh Yu Frey,1,0,11,18,6,14,11,18,6,14,0,0,0,0,0,0,0,0,3,0,10,17,0,5,1,1,3,6,0,0,3,3,9,16,6,14,0,0,0,0,2,2,0,0,http://www.ufcstats.com/fight-details/5475f5b6bad40989
Liudvik Sholinian,Johnny Munoz,0,0,21,54,38,94,21,54,38,94,0,1,0,0,0,0,0,0,0,0,14,47,23,76,5,5,11,12,2,2,4,6,21,54,38,94,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/31cb98ce37fd87dd
Carlos Candelario,Jake Hadley,0,0,58,123,50,116,58,123,50,116,0,0,0,0,0,0,0,0,0,0,26,83,15,76,17,24,19,24,15,16,16,16,57,122,50,115,1,1,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/cfca30d3ef3c86b9
Tamires Vidal,Ramona Pascual,1,0,17,29,13,14,22,34,17,18,0,1,0,0,0,0,0,0,56,23,6,17,3,4,7,8,5,5,4,4,5,5,13,25,10,10,4,4,3,4,0,0,0,0,http://www.ufcstats.com/fight-details/b87ac039e3b13940
Calvin Kattar,Arnold Allen,0,0,14,57,27,65,14,57,27,65,0,0,0,0,0,0,0,0,0,23,5,46,21,54,6,8,2,5,3,3,4,6,14,57,26,60,0,0,0,0,0,0,1,5,http://www.ufcstats.com/fight-details/a554a72bb0377213
Tim Means,Max Griffin,0,1,17,49,25,42,21,53,26,43,0,0,0,2,0,0,0,0,26,54,8,27,16,29,3,14,7,9,6,8,2,4,13,43,20,34,4,6,1,1,0,0,4,7,http://www.ufcstats.com/fight-details/bf59d9f8bd9536f3
Waldo Cortes Acosta,Jared Vanderaa,0,0,22,39,13,36,22,39,13,36,0,0,0,0,0,0,0,0,0,0,12,26,1,24,9,12,0,0,1,1,12,12,22,39,13,36,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/5b6bdaf89e493674
Josh Fremd,Tresean Gore,0,0,18,40,8,14,21,43,12,19,0,0,2,3,0,0,0,0,30,156,4,24,6,9,10,12,1,2,4,4,1,3,14,33,7,9,4,7,1,5,0,0,0,0,http://www.ufcstats.com/fight-details/6a7db3750822d7be
Dustin Jacoby,Khalil Rountree Jr.,0,0,34,66,20,57,35,67,22,60,0,1,0,0,0,0,0,0,0,0,12,38,11,44,12,16,3,4,10,12,6,9,34,66,19,55,0,0,1,2,0,0,0,0,http://www.ufcstats.com/fight-details/98b7dd0ddc52cffb
