fighter_a,fighter_b,fighter_a_line,fighter_b_line,event,date
Farid Basharat,Jean Matsumoto,-302,235,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Dustin Jacoby,Julius Walker,-164,133,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Alex Morono,Daniil Donchenko,510,-808,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Niko Price,Nikolay Veretennikov,218,-272,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Bruna Brasil,Ketlen Souza,123,-154,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Geoff Neal,Uros Medic,-218,170,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Anthony Hernandez,Sean Strickland,-275,210,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Dan Ige,Melquizael Costa,192,-240,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Ante Delija,Serghei Spivac,-125,102,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Jacobe Smith,Josiah Harrell,-318,245,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Michel Pereira,Zach Reese,-169,142,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Carlos Leal Miranda,Chidi Njokuani,-137,110,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Alibi Idiris,Ode Osbourne,-136,109,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Alden Coria,Luis Gurule,-410,315,UFC Fight Night: Strickland vs. Hernandez,2026-02-21
Brandon Moreno,Loneer Kavanagh,-202,168,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
David Martinez,Marlon Vera,-332,250,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Daniel Zellhuber,King Green,-400,300,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Bobby Green,Daniel Zellhuber,176,-194,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Edgar Chairez,Felipe Bunes,-318,245,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Imanol Rodriguez,Kevin Borjas,-455,340,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Angel Pacheco,Santiago Luna,525,-770,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Jose Medina,Ryan Gandra,500,-715,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Ailin Perez,Macy Chiasson,-186,150,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Cristian Quinonez,Kris Moutinho,-624,440,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28
Jesus Aguilar,Sumudaerji Sumudaerji,144,-176,UFC 326: Holloway vs. Oliveira 2,2026-03-07
Diyar Nurgozhay,Rafael Tobias,146,-175,UFC 326: Holloway vs. Oliveira 2,2026-03-07
Luke Fernandez,Rodolfo Bellato,-228,187,UFC 326: Holloway vs. Oliveira 2,2026-03-07
Josh Emmett,Kevin Vallejos,400,-555,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Amanda Lemos,Gillian Robertson,195,-250,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Andre Fili,Jose Delgado,368,-490,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Harry Hardwick,Marwan Rahiki,230,-305,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Ion Cutelaba,Oumar Sy,240,-315,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Bruno Silva,Charles Johnson,148,-182,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Chris Curtis,Myktybek Orolbai,350,-480,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Steven Asplund,Vitor Petrino,178,-218,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Elijah Smith,Suyoung You,-275,210,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Bolaji Oki,Manoel Sousa,215,-276,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Brad Tavares,Eryk Anders,112,-134,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Bia Mesquita,Montserrat Rendon,-708,500,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Hecher Sosa,Luan Lacerda,-203,164,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
Piera Rodriguez,Sam Hughes,-150,120,UFC Fight Night: Emmett vs. Vallejos,2026-03-14
